id,time,club,ball,combine_test_report_id,score,distance_from_pin
8a9dc393-de8b-43b5-befb-8e4a7431deb7,2024-08-08T07:34:39.2380939+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,52.0,21.083498688461678
7e0584bf-18d9-4ddb-8aa7-0e6121cb1afb,2024-08-08T07:48:04.2439043+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,74.0,12.247328901506467
249f63d8-504a-433b-9701-28ac34ed7705,2024-08-08T07:48:30.928928+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,63.0,16.60102456902738
3c82cd95-bb2e-455d-b686-57650cc84a1e,2024-08-08T07:48:53.3696009+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,78.0,10.884089850915862
d03b1477-8009-423e-aad3-56aa67b39bb4,2024-08-08T07:35:18.835351+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,98.0,
8378cc57-7610-4824-83c3-5fb274abaa3a,2024-08-08T07:35:55.1226346+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,73.0,
558681da-3d9d-4eca-bae2-01ff2391bba1,2024-08-08T07:36:20.6389037+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,92.0,
d40faeef-ff1d-45f5-99b7-36451be46e9b,2024-08-08T07:49:27.7562575+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,89.0,
a005aed4-dce4-45a2-bd9a-596337f82138,2024-08-08T07:49:55.2163872+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,97.0,
7d0f9361-08ca-4c2a-a291-0463bd43cee2,2024-08-08T07:50:23.4516771+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,95.0,
